observation_date,DEXSLUS
2016-05-12,145.9081
2016-05-13,145.9081
2016-05-16,145.9081
2016-05-17,145.9081
2016-05-18,145.9081
2016-05-19,145.9081
2016-05-20,145.9081
2016-05-23,145.9081
2016-05-24,145.9081
2016-05-25,145.9081
2016-05-26,145.9081
2016-05-27,145.9081
2016-05-30,145.9081
2016-05-31,145.9081
2016-06-01,145.8609
2016-06-02,145.8609
2016-06-03,145.8609
2016-06-06,145.8609
2016-06-07,145.8609
2016-06-08,145.8609
2016-06-09,145.8609
2016-06-10,145.8609
2016-06-13,145.8609
2016-06-14,145.8609
2016-06-15,145.8609
2016-06-16,145.8609
2016-06-17,145.8609
2016-06-20,145.8609
2016-06-21,145.8609
2016-06-22,145.8609
2016-06-23,145.8609
2016-06-24,145.8609
2016-06-27,145.8609
2016-06-28,145.8609
2016-06-29,145.8609
2016-06-30,145.8609
2016-07-01,145.4010
2016-07-04,145.4010
2016-07-05,145.4010
2016-07-06,145.4010
2016-07-07,145.4010
2016-07-08,145.4010
2016-07-11,145.4010
2016-07-12,145.4010
2016-07-13,145.4010
2016-07-14,145.4010
2016-07-15,145.4010
2016-07-18,145.4010
2016-07-19,145.4010
2016-07-20,145.4010
2016-07-21,145.4010
2016-07-22,145.4010
2016-07-25,145.4010
2016-07-26,145.4010
2016-07-27,145.4010
2016-07-28,145.4010
2016-07-29,145.4010
2016-08-01,145.2035
2016-08-02,145.2035
2016-08-03,145.2035
2016-08-04,145.2035
2016-08-05,145.2035
2016-08-08,145.2035
2016-08-09,145.2035
2016-08-10,145.2035
2016-08-11,145.2035
2016-08-12,145.2035
2016-08-15,145.2035
2016-08-16,145.2035
2016-08-17,145.2035
2016-08-18,145.2035
2016-08-19,145.2035
2016-08-22,145.2035
2016-08-23,145.2035
2016-08-24,145.2035
2016-08-25,145.2035
2016-08-26,145.2035
2016-08-29,145.2035
2016-08-30,145.2035
2016-08-31,145.2035
2016-09-01,145.4581
2016-09-02,145.4581
2016-09-05,145.4581
2016-09-06,145.4581
2016-09-07,145.4581
2016-09-08,145.4581
2016-09-09,145.4581
2016-09-12,145.4581
2016-09-13,145.4581
2016-09-14,145.4581
2016-09-15,145.4581
2016-09-16,145.4581
2016-09-19,145.4581
2016-09-20,145.4581
2016-09-21,145.4581
2016-09-22,145.4581
2016-09-23,145.4581
2016-09-26,145.4581
2016-09-27,145.4581
2016-09-28,145.4581
2016-09-29,145.4581
2016-09-30,145.4581
2016-10-03,146.7600
2016-10-04,146.7600
2016-10-05,146.7600
2016-10-06,146.7600
2016-10-07,146.7600
2016-10-10,146.7600
2016-10-11,146.7600
2016-10-12,146.7600
2016-10-13,146.7600
2016-10-14,146.7600
2016-10-17,146.7600
2016-10-18,146.7600
2016-10-19,146.7600
2016-10-20,146.7600
2016-10-21,146.7600
2016-10-24,146.7600
2016-10-25,146.7600
2016-10-26,146.7600
2016-10-27,146.7600
2016-10-28,146.7600
2016-10-31,146.7600
2016-11-01,147.8100
2016-11-02,147.8100
2016-11-03,147.8100
2016-11-04,147.8100
2016-11-07,147.8100
2016-11-08,147.8100
2016-11-09,147.8100
2016-11-10,147.8100
2016-11-11,147.8100
2016-11-14,147.8100
2016-11-15,147.8100
2016-11-16,147.8100
2016-11-17,147.8100
2016-11-18,147.8100
2016-11-21,147.8100
2016-11-22,147.8100
2016-11-23,147.8100
2016-11-24,147.8100
2016-11-25,147.8100
2016-11-28,147.8100
2016-11-29,147.8100
2016-11-30,147.8100
2016-12-01,148.8152
2016-12-02,148.8152
2016-12-05,148.8152
2016-12-06,148.8152
2016-12-07,148.8152
2016-12-08,148.8152
2016-12-09,148.8152
2016-12-12,148.8152
2016-12-13,148.8152
2016-12-14,148.8152
2016-12-15,148.8152
2016-12-16,148.8152
2016-12-19,148.8152
2016-12-20,148.8152
2016-12-21,148.8152
2016-12-22,148.8152
2016-12-23,148.8152
2016-12-26,148.8152
2016-12-27,148.8152
2016-12-28,148.8152
2016-12-29,148.8152
2016-12-30,148.8152
2017-01-02,149.8342
2017-01-03,149.8342
2017-01-04,149.8342
2017-01-05,149.8342
2017-01-06,149.8342
2017-01-09,149.8342
2017-01-10,149.8342
2017-01-11,149.8342
2017-01-12,149.8342
2017-01-13,149.8342
2017-01-16,149.8342
2017-01-17,149.8342
2017-01-18,149.8342
2017-01-19,149.8342
2017-01-20,149.8342
2017-01-23,149.8342
2017-01-24,149.8342
2017-01-25,149.8342
2017-01-26,149.8342
2017-01-27,149.8342
2017-01-30,149.8342
2017-01-31,149.8342
2017-02-01,150.8721
2017-02-02,150.8721
2017-02-03,150.8721
2017-02-06,150.8721
2017-02-07,150.8721
2017-02-08,150.8721
2017-02-09,150.8721
2017-02-10,150.8721
2017-02-13,150.8721
2017-02-14,150.8721
2017-02-15,150.8721
2017-02-16,150.8721
2017-02-17,150.8721
2017-02-20,150.8721
