Year, District    , Total_(%), Agriculture_(%), Industries_(%), Services_(%)
2020, Batticaloa  ,     100.0,            31.8,           27.4,         40.8
2021, Batticaloa  ,     100.0,            29.3,           29.3,         41.3
2022, Batticaloa  ,     100.0,            32.0,           23.8,         44.2
2023, Batticaloa  ,     100.0,            30.7,           23.6,         45.7
2024, Batticaloa  ,     100.0,            27.5,           22.2,         50.3
2020, Ampara      ,     100.0,            24.6,           21.7,         53.7
2021, Ampara      ,     100.0,            28.2,           20.4,         51.4
2022, Ampara      ,     100.0,            30.7,           24.7,         44.6
2023, Ampara      ,     100.0,            31.6,           22.2,         46.2
2024, Ampara      ,     100.0,            36.9,           20.6,         42.5
2020, Trincomalee ,     100.0,            30.7,           18.9,         50.4
2021, Trincomalee ,     100.0,            32.1,           21.7,         46.2
2022, Trincomalee ,     100.0,            30.2,           20.3,         49.5
2023, Trincomalee ,     100.0,            32.3,           21.5,         46.1
2024, Trincomalee ,     100.0,            31.7,           20.4,         47.9
2020, Kurunegala  ,     100.0,            31.6,           29.9,         38.5
2021, Kurunegala  ,     100.0,            30.8,           29.5,         39.7
2022, Kurunegala  ,     100.0,            27.2,           31.0,         41.7
2023, Kurunegala  ,     100.0,            28.1,           28.3,         43.6
2024, Kurunegala  ,     100.0,            28.4,           27.2,         44.4
2020, Puttalam    ,     100.0,            30.4,           31.4,         38.1
2021, Puttalam    ,     100.0,            27.3,           31.8,         40.9
2022, Puttalam    ,     100.0,            24.8,           33.2,         41.9
2023, Puttalam    ,     100.0,            26.9,           27.4,         45.7
2024, Puttalam    ,     100.0,            27.7,           29.2,         43.1
2020, Anuradhapura,     100.0,            52.8,           13.1,         34.1
2021, Anuradhapura,     100.0,            50.8,           13.6,         35.7
2022, Anuradhapura,     100.0,            51.9,           16.5,         31.6
2023, Anuradhapura,     100.0,            48.7,           15.6,         35.7
2024, Anuradhapura,     100.0,            52.0,           12.6,         35.4
2020, Polonnaruwa ,     100.0,            37.9,           24.5,         37.6
2021, Polonnaruwa ,     100.0,            46.3,           20.9,         32.9
2022, Polonnaruwa ,     100.0,            41.3,           18.7,         40.0
2023, Polonnaruwa ,     100.0,            45.2,           17.7,         37.1
2024, Polonnaruwa ,     100.0,            44.4,           18.8,         36.8
2020, Badulla     ,     100.0,            53.0,           14.0,         33.0
2021, Badulla     ,     100.0,            57.6,           13.4,         29.0
2022, Badulla     ,     100.0,            51.3,           16.8,         31.9
2023, Badulla     ,     100.0,            52.3,           12.6,         35.1
2024, Badulla     ,     100.0,            47.7,           15.9,         36.3
